index	vritti
1.2.39	एकश्रुतिः
1.2.40	सन्नतरादेशः
1.2.41	अपृक्तः
1.2.42	कर्मधारयः
1.2.43	उपसर्जनम्‌
1.2.44	उपसर्जनम्‌
1.2.45	प्रातिपदिकम्‌
1.2.46	प्रातिपदिकम्‌
1.2.47	ह्रस्वविधिः
1.2.48	ह्रस्वविधिः
1.2.49	स्त्रीप्रत्ययस्य लुक्
1.2.50	गोण्या इकारादेशः
1.2.51	लुपि युक्तवद्भावः
1.2.52	लुपि युक्तवद्भावः
1.2.53	अशिष्यम्
1.2.54	अशिष्यम्
1.2.55	अशिष्यम्
1.2.56	अशिष्यम्
1.2.57	अशिष्यम्
1.2.58	वचननिर्धारणम्
1.2.59	वचननिर्धारणम्
1.2.60	वचननिर्धारणम्
1.2.61	वचननिर्धारणम्
1.2.62	वचननिर्धारणम्
1.2.63	वचननिर्धारणम्
1.2.64	एकशेषः
1.2.65	एकशेषः
1.2.66	एकशेषः
1.2.67	एकशेषः
1.2.68	एकशेषः
1.2.69	एकशेषः
1.2.70	एकशेषः
1.2.71	एकशेषः
1.2.72	एकशेषः
1.2.73	एकशेषः
1.3.1	धातुः
1.3.2	इत्‌
1.3.3	इत्‌
1.3.4	इत्‌
1.3.5	इत्‌
1.3.6	इत्‌
1.3.7	इत्‌
1.3.8	इत्‌
1.3.9	इत्‌, इत्-लोपः
1.3.10	परिभाषा
1.3.11	परिभाषा
1.3.12	आत्मनेपदम्
1.3.13	आत्मनेपदम्
1.3.14	आत्मनेपदम्
1.3.15	आत्मनेपदम्
1.3.16	आत्मनेपदम्
1.3.17	आत्मनेपदम्
1.3.18	आत्मनेपदम्
1.3.19	आत्मनेपदम्
1.3.20	आत्मनेपदम्
1.3.21	आत्मनेपदम्
1.3.22	आत्मनेपदम्
1.3.23	आत्मनेपदम्
1.3.24	आत्मनेपदम्
1.3.25	आत्मनेपदम्
1.3.26	आत्मनेपदम्
1.3.27	आत्मनेपदम्
1.3.28	आत्मनेपदम्
1.3.29	आत्मनेपदम्
1.3.30	आत्मनेपदम्
1.3.31	आत्मनेपदम्
1.3.32	आत्मनेपदम्
1.3.33	आत्मनेपदम्
1.3.34	आत्मनेपदम्
1.3.35	आत्मनेपदम्
1.3.36	आत्मनेपदम्
1.3.37	आत्मनेपदम्
1.3.38	आत्मनेपदम्
1.3.39	आत्मनेपदम्
1.3.40	आत्मनेपदम्
1.3.41	आत्मनेपदम्
1.3.42	आत्मनेपदम्
1.3.43	आत्मनेपदम्
1.3.44	आत्मनेपदम्
1.3.45	आत्मनेपदम्
1.3.46	आत्मनेपदम्
1.3.47	आत्मनेपदम्
1.3.48	आत्मनेपदम्
1.3.49	आत्मनेपदम्
1.3.50	आत्मनेपदम्
1.3.51	आत्मनेपदम्
1.3.52	आत्मनेपदम्
1.3.53	आत्मनेपदम्
1.3.54	आत्मनेपदम्
1.3.55	आत्मनेपदम्
1.3.56	आत्मनेपदम्
1.3.57	आत्मनेपदम्
1.3.58	आत्मनेपदम्
1.3.59	आत्मनेपदम्
1.3.60	आत्मनेपदम्
1.3.61	आत्मनेपदम्
1.3.62	आत्मनेपदम्
1.3.63	आत्मनेपदम्
1.3.64	आत्मनेपदम्
1.3.65	आत्मनेपदम्
1.3.66	आत्मनेपदम्
1.3.67	आत्मनेपदम्
1.3.68	आत्मनेपदम्
1.3.69	आत्मनेपदम्
1.3.70	आत्मनेपदम्
1.3.71	आत्मनेपदम्
1.3.72	उभयपदम्
1.3.73	उभयपदम्
1.3.74	उभयपदम्
1.3.75	उभयपदम्
1.3.76	उभयपदम्
1.3.77	उभयपदम्
1.3.78	परस्मैपदम्
1.3.79	परस्मैपदम्
1.3.80	परस्मैपदम्
1.3.81	परस्मैपदम्
1.3.82	परस्मैपदम्
1.3.83	परस्मैपदम्
1.3.84	परस्मैपदम्
1.3.85	परस्मैपदम्
1.3.86	परस्मैपदम्
1.3.87	परस्मैपदम्
1.3.88	परस्मैपदम्
1.3.89	परस्मैपदम्
1.3.90	परस्मैपदम्
1.3.91	परस्मैपदम्
1.3.92	परस्मैपदम्
1.3.93	परस्मैपदम्
1.4.1	एकसंज्ञाधिकारः
1.4.2	
1.4.3	नदी
1.4.4	नदी
1.4.5	नदी
1.4.6	नदी
1.4.7	घि
1.4.8	घि
1.4.9	घि
1.4.10	लघु
1.4.11	गुरु
1.4.12	गुरु
1.4.13	अङ्गम्‌
1.4.14	पदम्‌
1.4.15	पदम्‌
1.4.16	पदम्‌
1.4.17	पदम्‌
1.4.18	भम्‌
1.4.19	भम्‌
1.4.20	भम्‌
1.4.21	एक-द्वि-बहु-वचन-विधिः
1.4.22	एक-द्वि-बहु-वचन-विधिः
1.4.23	कारकम्‌, कारकम्
1.4.24	अपादानम् कारकम्‌, कारकम्
1.4.25	अपादानम् कारकम्‌, कारकम्
1.4.26	अपादानम् कारकम्‌, कारकम्
1.4.27	अपादानम् कारकम्‌, कारकम्
1.4.28	अपादानम् कारकम्‌, कारकम्
1.4.29	अपादानम् कारकम्‌, कारकम्
1.4.30	अपादानम् कारकम्‌, कारकम्
1.4.31	अपादानम् कारकम्‌, कारकम्
1.4.32	संप्रदानम्‌ कारकम्‌, कारकम्
1.4.33	संप्रदानम्‌ कारकम्‌, कारकम्
1.4.34	संप्रदानम्‌ कारकम्‌, कारकम्
1.4.35	संप्रदानम्‌ कारकम्‌, कारकम्
1.4.36	संप्रदानम्‌ कारकम्‌, कारकम्
1.4.37	संप्रदानम्‌ कारकम्‌, कारकम्
1.4.38	संप्रदानम्‌ कारकम्‌, कारकम्
1.4.39	संप्रदानम्‌ कारकम्‌, कारकम्
1.4.40	संप्रदानम्‌ कारकम्‌, कारकम्
1.4.41	संप्रदानम्‌ कारकम्‌, कारकम्
1.4.42	करणम्‌ कारकम्‌, कारकम्
1.4.43	करणम्‌ कारकम्‌, कारकम्
1.4.44	करणम्‌ कारकम्‌, कारकम्
1.4.45	अधिकरणम्‌ कारकम्‌, कारकम्
1.4.46	कर्म कारकम्‌, कारकम्
1.4.47	कर्म कारकम्‌, कारकम्
1.4.48	कर्म कारकम्‌, कारकम्
1.4.49	कर्म कारकम्‌, कारकम्
1.4.50	कर्म कारकम्‌, कारकम्
1.4.51	कर्म कारकम्‌, कारकम्
1.4.52	कर्म कारकम्‌, कारकम्
1.4.53	कर्म कारकम्‌, कारकम्
1.4.54	कर्ता कारकम्‌, कारकम्
1.4.55	कर्ता हेतुः कारकम्‌, कारकम्
1.4.56	निपात, निपातः
1.4.57	निपातः, प्राङ्
1.4.58	निपातः, प्राङ्
1.4.59	उपसर्गः, निपातः, प्राङ्
1.4.60	गतिः, निपातः, प्राङ्
1.4.61	गतिः, निपातः, प्राङ्
1.4.62	गतिः, निपातः, प्राङ्
1.4.63	गतिः, निपातः, प्राङ्
1.4.64	गतिः, निपातः, प्राङ्
1.4.65	गतिः, निपातः, प्राङ्
1.4.66	गतिः, निपातः, प्राङ्
1.4.67	गतिः, निपातः, प्राङ्
1.4.68	गतिः, निपातः, प्राङ्
1.4.69	गतिः, निपातः, प्राङ्
1.4.70	गतिः, निपातः, प्राङ्
1.4.71	गतिः, निपातः, प्राङ्
1.4.72	गतिः, निपातः, प्राङ्
1.4.73	गतिः, निपातः, प्राङ्
1.4.74	गतिः, निपातः, प्राङ्
1.4.75	गतिः, निपातः, प्राङ्
1.4.76	गतिः, निपातः, प्राङ्
1.4.77	गतिः, निपातः, प्राङ्
1.4.78	गतिः, निपातः, प्राङ्
1.4.79	गतिः, निपातः, प्राङ्
1.4.80	"गति-उपसर्ग-संज्ञा-नियमः/ गति-उपसर्ग-प्रयोग-नियमः", निपातः, प्राङ्
1.4.81	"गति-उपसर्ग-संज्ञा-नियमः/ गति-उपसर्ग-प्रयोग-नियमः", निपातः, प्राङ्
1.4.82	"गति-उपसर्ग-संज्ञा-नियमः/ गति-उपसर्ग-प्रयोग-नियमः", निपातः, प्राङ्
1.4.83	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.84	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.85	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.86	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.87	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.88	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.89	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.90	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.91	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.92	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.93	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.94	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.95	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.96	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.97	कर्मप्रवचनीया, निपातः, प्राङ्
1.4.98	कर्मप्रवचनीया, निपातः
1.4.99	परस्मैपदम्‌
1.4.100	आत्मनेपदम्
1.4.101	प्रथमः मध्यमः उत्तमः
1.4.102	एकवचनम्‌ द्विवचनम्‌ बहुवचनम्
1.4.103	एकवचनम्‌ द्विवचनम्‌ बहुवचनम्
1.4.104	विभक्तिः
1.4.105	प्रथममध्यमोत्तमपुरुष-विधिः
1.4.106	प्रथममध्यमोत्तमपुरुष-विधिः
1.4.107	प्रथममध्यमोत्तमपुरुष-विधिः
1.4.108	प्रथममध्यमोत्तमपुरुष-विधिः
1.4.109	संहिता
1.4.110	अवसानम्‌
2.1.1	समर्थः
2.1.2	पराङ्गवत्-भावातिदेशः
2.1.3	समासः, समासः
2.1.4	समासः
2.1.5	अव्ययीभावः समासः, समासः
2.1.6	अव्ययीभावः समासः, समासः
2.1.7	अव्ययीभावः समासः, समासः
2.1.8	अव्ययीभावः समासः, समासः
2.1.9	अव्ययीभावः समासः, समासः
2.1.10	अव्ययीभावः समासः, समासः
2.1.11	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.12	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.13	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.14	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.15	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.16	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.17	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.18	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.19	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.20	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.21	अव्ययीभावः समासः, समासः विभाषाधिकारे
2.1.22	तत्पुरुषः समासः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.23	द्विगुः समासः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.24	द्वितीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.25	द्वितीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.26	द्वितीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.27	द्वितीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.28	द्वितीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.29	द्वितीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.30	तृतीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.31	तृतीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.32	तृतीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.33	तृतीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.34	तृतीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.35	तृतीया, समासः विभाषाधिकारे, तत्पुरुषः
2.1.36	चतुर्थी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.37	पञ्चमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.38	पञ्चमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.39	पञ्चमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.40	सप्तमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.41	सप्तमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.42	सप्तमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.43	सप्तमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.44	सप्तमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.45	सप्तमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.46	सप्तमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.47	सप्तमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.48	सप्तमी, समासः विभाषाधिकारे, तत्पुरुषः
2.1.49	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.50	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.51	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.52	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.53	कर्मधारयः द्विगुः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.54	कर्मधारयः द्विगुः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.55	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.56	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.57	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.58	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.59	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.60	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.61	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.62	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.63	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.64	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.65	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.66	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.67	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.68	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.69	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.70	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.71	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.1.72	कर्मधारयः, समासः विभाषाधिकारे, तत्पुरुषः
2.2.1	एकदेशि तत्पुरुषः, समासः विभाषाधिकारे, तत्पुरुषः
2.2.2	एकदेशि तत्पुरुषः, समासः विभाषाधिकारे, तत्पुरुषः
2.2.3	एकदेशि तत्पुरुषः, समासः विभाषाधिकारे, तत्पुरुषः
2.2.4	समासः विभाषाधिकारे, तत्पुरुषः
2.2.5	समासः विभाषाधिकारे, तत्पुरुषः
2.2.6	नञ्, समासः विभाषाधिकारे, तत्पुरुषः
2.2.7	समासः विभाषाधिकारे, तत्पुरुषः
2.2.8	षष्ठी, समासः विभाषाधिकारे, तत्पुरुषः
2.2.9	षष्ठी, समासः विभाषाधिकारे, तत्पुरुषः
2.2.10	समासः विभाषाधिकारे, तत्पुरुषः
2.2.11	समासः विभाषाधिकारे, तत्पुरुषः
2.2.12	समासः विभाषाधिकारे, तत्पुरुषः
2.2.13	समासः विभाषाधिकारे, तत्पुरुषः
2.2.14	समासः विभाषाधिकारे, तत्पुरुषः
2.2.15	समासः विभाषाधिकारे, तत्पुरुषः
2.2.16	समासः विभाषाधिकारे, तत्पुरुषः
2.2.17	समासः विभाषाधिकारे, तत्पुरुषः
2.2.18	कुगति-प्रादि, समासः विभाषाधिकारे, तत्पुरुषः
2.2.19	उपपदम्, समासः विभाषाधिकारे, तत्पुरुषः
2.2.20	उपपदम्, समासः विभाषाधिकारे, तत्पुरुषः
2.2.21	उपपदम्, समासः विभाषाधिकारे, तत्पुरुषः
2.2.22	उपपदम्, समासः विभाषाधिकारे, तत्पुरुषः
2.2.23	बहुव्रीहिः समासः, समासः विभाषाधिकारे, बहुव्रीहिः समासः
2.2.24	बहुव्रीहिः समासः, समासः विभाषाधिकारे
2.2.25	बहुव्रीहिः समासः, समासः विभाषाधिकारे
2.2.26	बहुव्रीहिः समासः, समासः विभाषाधिकारे
2.2.27	बहुव्रीहिः समासः, समासः विभाषाधिकारे
2.2.28	बहुव्रीहिः समासः, समासः विभाषाधिकारे
2.2.29	द्वन्द्वः समासः, समासः विभाषाधिकारे
2.2.30	पूर्वनिपातः /परनिपातः, समासः विभाषाधिकारे
2.2.31	पूर्वनिपातः /परनिपातः, समासः विभाषाधिकारे
2.2.32	पूर्वनिपातः /परनिपातः, समासः विभाषाधिकारे
2.2.33	पूर्वनिपातः /परनिपातः, समासः विभाषाधिकारे
2.2.34	पूर्वनिपातः /परनिपातः, समासः विभाषाधिकारे
2.2.35	पूर्वनिपातः /परनिपातः, समासः विभाषाधिकारे
2.2.36	पूर्वनिपातः /परनिपातः, समासः विभाषाधिकारे
2.2.37	पूर्वनिपातः /परनिपातः, समासः विभाषाधिकारे
2.2.38	पूर्वनिपातः /परनिपातः, समासः विभाषाधिकारे
2.3.1	अनभिहिते
2.3.2	द्वितीया, अनभिहिते
2.3.3	द्वितीया, अनभिहिते
2.3.4	द्वितीया, अनभिहिते
2.3.5	द्वितीया, अनभिहिते
2.3.6	द्वितीया, अनभिहिते
2.3.7	द्वितीया, अनभिहिते
2.3.8	द्वितीया, अनभिहिते
2.3.9	द्वितीया, अनभिहिते
2.3.10	द्वितीया, अनभिहिते
2.3.11	द्वितीया, अनभिहिते
2.3.12	द्वितीया, अनभिहिते
2.3.13	चतुर्थी, अनभिहिते
2.3.14	चतुर्थी, अनभिहिते
2.3.15	चतुर्थी, अनभिहिते
2.3.16	चतुर्थी, अनभिहिते
2.3.17	चतुर्थी, अनभिहिते
2.3.18	तृतीया, अनभिहिते
2.3.19	तृतीया, अनभिहिते
2.3.20	तृतीया, अनभिहिते
2.3.21	तृतीया, अनभिहिते
2.3.22	तृतीया, अनभिहिते
2.3.23	तृतीया, अनभिहिते
2.3.24	तृतीया, अनभिहिते
2.3.25	तृतीया, अनभिहिते
2.3.26	तृतीया, अनभिहिते
2.3.27	तृतीया, अनभिहिते
2.3.28	पञ्चमी, अनभिहिते
2.3.29	पञ्चमी, अनभिहिते
2.3.30	पञ्चमी, अनभिहिते
2.3.31	पञ्चमी, अनभिहिते
2.3.32	पञ्चमी, अनभिहिते
2.3.33	पञ्चमी, अनभिहिते
2.3.34	पञ्चमी, अनभिहिते
2.3.35	पञ्चमी, अनभिहिते
2.3.36	सप्तमी, अनभिहिते
2.3.37	सप्तमी, अनभिहिते
2.3.38	सप्तमी, अनभिहिते
2.3.39	सप्तमी, अनभिहिते
2.3.40	सप्तमी, अनभिहिते
2.3.41	सप्तमी, अनभिहिते
2.3.42	सप्तमी, अनभिहिते
2.3.43	सप्तमी, अनभिहिते
2.3.44	सप्तमी, अनभिहिते
2.3.45	सप्तमी, अनभिहिते
2.3.46	प्रथमा, अनभिहिते
2.3.47	प्रथमा, अनभिहिते
2.3.48	आमन्त्रितम्‌, अनभिहिते
2.3.49	संबुद्धिः, अनभिहिते
2.3.50	षष्ठी, अनभिहिते
2.3.51	षष्ठी, अनभिहिते
2.3.52	षष्ठी, अनभिहिते
2.3.53	षष्ठी, अनभिहिते
2.3.54	षष्ठी, अनभिहिते
2.3.55	षष्ठी, अनभिहिते
2.3.56	षष्ठी, अनभिहिते
2.3.57	षष्ठी, अनभिहिते
2.3.58	षष्ठी, अनभिहिते
2.3.59	षष्ठी, अनभिहिते
2.3.60	षष्ठी, अनभिहिते
2.3.61	षष्ठी, अनभिहिते
2.3.62	षष्ठी, अनभिहिते
2.3.63	षष्ठी, अनभिहिते
2.3.64	षष्ठी, अनभिहिते
2.3.65	षष्ठी, अनभिहिते
2.3.66	षष्ठी, अनभिहिते
2.3.67	षष्ठी, अनभिहिते
2.3.68	षष्ठी, अनभिहिते
2.3.69	षष्ठी, अनभिहिते
2.3.70	षष्ठी, अनभिहिते
2.3.71	षष्ठी, अनभिहिते
2.3.72	षष्ठी, अनभिहिते
2.3.73	षष्ठी, अनभिहिते
2.4.1	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.2	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.3	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.4	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.5	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.6	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.7	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.8	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.9	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.10	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.11	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.12	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.13	एकवद्भावः, द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.14	द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.15	द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.16	द्विगुद्वन्द्वयोः वचननिर्णयः
2.4.17	नपुंसकम्, द्विगु-द्वन्द्व-अव्ययीभावानां लिङ्गनिर्णयः
2.4.18	नपुंसकम्, द्विगु-द्वन्द्व-अव्ययीभावानां लिङ्गनिर्णयः
2.4.19	नपुंसकम्, तत्पुरुषे
2.4.20	नपुंसकम्
2.4.21	नपुंसकम्
2.4.22	नपुंसकम्
2.4.23	नपुंसकम्
2.4.24	नपुंसकम्
2.4.25	नपुंसकम्
2.4.26	द्वन्द्व-तत्पुरुषयोः लिङ्गनिर्णयः
2.4.27	द्वन्द्व-तत्पुरुषयोः लिङ्गनिर्णयः
2.4.28	द्वन्द्व-तत्पुरुषयोः लिङ्गनिर्णयः
2.4.29	द्वन्द्व-तत्पुरुषयोः लिङ्गनिर्णयः
2.4.30	द्वन्द्व-तत्पुरुषयोः लिङ्गनिर्णयः
2.4.31	द्वन्द्व-तत्पुरुषयोः लिङ्गनिर्णयः
2.4.32	अन्वादेशः
2.4.33	अन्वादेशः
2.4.34	अन्वादेशः
2.4.35	धात्वादेशः, आर्धधातुके
2.4.36	धात्वादेशः, आर्धधातुके
2.4.37	धात्वादेशः, आर्धधातुके
2.4.38	धात्वादेशः, आर्धधातुके
2.4.39	धात्वादेशः, आर्धधातुके
2.4.40	धात्वादेशः, आर्धधातुके
2.4.41	धात्वादेशः, आर्धधातुके
2.4.42	धात्वादेशः, आर्धधातुके
2.4.43	धात्वादेशः, आर्धधातुके
2.4.44	धात्वादेशः, आर्धधातुके
2.4.45	धात्वादेशः, आर्धधातुके
2.4.46	धात्वादेशः, आर्धधातुके
2.4.47	धात्वादेशः, आर्धधातुके
2.4.48	धात्वादेशः, आर्धधातुके
2.4.49	धात्वादेशः, आर्धधातुके
2.4.50	धात्वादेशः, आर्धधातुके
2.4.51	धात्वादेशः, आर्धधातुके
2.4.52	धात्वादेशः, आर्धधातुके
2.4.53	धात्वादेशः, आर्धधातुके
